event_id,date,event_name,event_type,description
1,2014-06-01,Oil price collapse 2014,economic,"Global oil glut and OPEC decision not to cut output lead to sharp Brent price decline."
2,2016-11-30,OPEC production cut 2016,OPEC,"OPEC agrees to first production cut since 2008, targeting 1.2 million barrels per day reduction." 
3,2018-05-08,US withdraws from Iran nuclear deal,geopolitical,"United States announces withdrawal from JCPOA and reimposes sanctions on Iranian oil exports."
4,2019-09-14,Saudi Aramco Abqaiq attack,geopolitical,"Drone and missile attacks on Saudi oil facilities temporarily remove significant production capacity."
5,2020-03-09,COVID-19 demand shock and price war,pandemic,"Global demand collapse from COVID-19 and Saudi-Russia price war cause extreme volatility in Brent prices."
6,2020-04-20,Oil price crash peak,economic,"Oil markets experience severe stress with historic price collapses in global crude benchmarks."
7,2020-04-12,OPEC+ historic production cut,OPEC,"OPEC and allies agree to record production cuts to stabilize collapsing oil prices."
8,2021-10-01,Post-COVID demand recovery,economic,"Rising global demand and limited supply lead to strong recovery in Brent oil prices."
9,2022-02-24,Russia-Ukraine war outbreak,geopolitical,"Russian invasion of Ukraine triggers fears of supply disruptions and sanctions on Russian oil exports."
10,2022-03-08,Peak oil prices during early war period,geopolitical,"Brent crude prices spike above 130 USD per barrel amid heightened geopolitical risk and uncertainty."
11,2011-02-01,Arab Spring unrest,geopolitical,"Political unrest across the Middle East and North Africa increases supply risk and price volatility."
12,2012-07-01,EU embargo on Iranian oil,sanctions,"European Union implements oil embargo against Iran, tightening global supply conditions."
13,2016-01-16,Lifting of some Iran sanctions,sanctions,"Implementation of JCPOA eases sanctions on Iranian oil exports, adding supply to the market."
14,2008-07-03,Pre-global financial crisis oil peak,economic,"Brent crude reaches record highs before the global financial crisis reduces demand."
15,2008-09-15,Lehman Brothers collapse,financial,"Global financial crisis intensifies, triggering a sharp drop in oil demand and prices."
